title,platform,file_id,direct_url
Kirby's Extra Epic Yarn,3DS,1lr5Bv0gv5rriJs70L8OlGCxqMUtohwn5,https://drive.google.com/uc?export=download&id=1lr5Bv0gv5rriJs70L8OlGCxqMUtohwn5
Luigi's Mansion: Dark Moon,3DS,1-ZuGf_3kBoky6cIC9PQoCdLkpGxQp35E,https://drive.google.com/uc?export=download&id=1-ZuGf_3kBoky6cIC9PQoCdLkpGxQp35E
Luigi's Mansion,3DS,1kwlyyQz6oe-l0kxN_Eg6a_z8UV0KYDbJ,https://drive.google.com/uc?export=download&id=1kwlyyQz6oe-l0kxN_Eg6a_z8UV0KYDbJ
Mario & Luigi: Bowser's Inside Story,3DS,1nseWwjEiHEXaz_lmnmC6lcKct4Z_95HN,https://drive.google.com/uc?export=download&id=1nseWwjEiHEXaz_lmnmC6lcKct4Z_95HN
Mario & Luigi: Dream Team,3DS,1b7XkVnClNoAaJ5szAr3UjvoSxwHJlCgr,https://drive.google.com/uc?export=download&id=1b7XkVnClNoAaJ5szAr3UjvoSxwHJlCgr
Mario & Luigi: Paper Jam,3DS,19y9-NB1XptZjPHXYEXOi4i7YBF5La5qF,https://drive.google.com/uc?export=download&id=19y9-NB1XptZjPHXYEXOi4i7YBF5La5qF
Mario & Luigi: Superstar Saga,3DS,1O46-1cqV5c8KzYJH9-C0gaOlpTi90f4g,https://drive.google.com/uc?export=download&id=1O46-1cqV5c8KzYJH9-C0gaOlpTi90f4g
Mario Kart 7,3DS,1MtGzywV7EQJreRmbqKbfvThgsO8b6zrD,https://drive.google.com/uc?export=download&id=1MtGzywV7EQJreRmbqKbfvThgsO8b6zrD
Mario Party: Star Rush,3DS,1SBlNULB8zvIiy2W4HgbyT--ALVmEecLs,https://drive.google.com/uc?export=download&id=1SBlNULB8zvIiy2W4HgbyT--ALVmEecLs
Mario vs. Donkey Kong: Tipping Stars,3DS,1hbLHSURtnQokMmaX_lxa-21kyf_mNlUG,https://drive.google.com/uc?export=download&id=1hbLHSURtnQokMmaX_lxa-21kyf_mNlUG
New Super Mario Bros. 2,3DS,1sWRPXtYILbKG5_RFB60-4YA6UaqQKmQK,https://drive.google.com/uc?export=download&id=1sWRPXtYILbKG5_RFB60-4YA6UaqQKmQK
Paper Mario:Sticker Star,3DS,1gcWL1UYgoUGR44Ty3aDbusdbOmI2oEC3,https://drive.google.com/uc?export=download&id=1gcWL1UYgoUGR44Ty3aDbusdbOmI2oEC3
Pokemon X,3DS,1NBwIp3QWZaWP-IcTdV9GXTiP54LwsLb9,https://drive.google.com/uc?export=download&id=1NBwIp3QWZaWP-IcTdV9GXTiP54LwsLb9
Pokemon Y,3DS,1RB90z-XQSYEML5eDhrpDl9BY8jfcyo_O,https://drive.google.com/uc?export=download&id=1RB90z-XQSYEML5eDhrpDl9BY8jfcyo_O
Poochy & Yoshi's Woolly World,3DS,17LkreThlZpnjGVAaQb7EGNQkP1mEAGMP,https://drive.google.com/uc?export=download&id=17LkreThlZpnjGVAaQb7EGNQkP1mEAGMP
Super Mario 3D Land,3DS,1IZJqUYGRELcGHWVamEwDsq4KG4YTYjYO,https://drive.google.com/uc?export=download&id=1IZJqUYGRELcGHWVamEwDsq4KG4YTYjYO
Super Smash Bros. for 3DS,3DS,1TXEUviWJcKOZ6_J0VRU6iOw464Sd_Pkd,https://drive.google.com/uc?export=download&id=1TXEUviWJcKOZ6_J0VRU6iOw464Sd_Pkd
Tomodachi Life,3DS,1PO2bhoRs6z5OwYouvKdgDPGIMUgX5ZvS,https://drive.google.com/uc?export=download&id=1PO2bhoRs6z5OwYouvKdgDPGIMUgX5ZvS
WarioWare Gold,3DS,12J8I-uzsc0Zil_wzWunPsDFV7cNqCjth,https://drive.google.com/uc?export=download&id=12J8I-uzsc0Zil_wzWunPsDFV7cNqCjth
Yo-kai Watch 3,3DS,1xmCbbSSTH6dgf-ICy3iXnYYlEIwE7GQ7,https://drive.google.com/uc?export=download&id=1xmCbbSSTH6dgf-ICy3iXnYYlEIwE7GQ7
Yo-kai Watch Blasters: Red Cat Corps,3DS,1x2sJjo-jRK1W42uGPIJgYqNQm6MHZ7fo,https://drive.google.com/uc?export=download&id=1x2sJjo-jRK1W42uGPIJgYqNQm6MHZ7fo
Yo-kai Watch,3DS,1SV37AgufLCINn__aeNmNPrvwmtqFNK9E,https://drive.google.com/uc?export=download&id=1SV37AgufLCINn__aeNmNPrvwmtqFNK9E
